Year,Month,Cover Model
1953,December,Marilyn Monroe
1954,January,"Vol. 1, No. 2"
1954,February,Yvonne Ménard
1954,March,Joanne Arnold
1954,April,Leigh Lewin
1954,May,"Vol. 1, No. 6"
1954,June,"Vol. 1, No. 7"
1954,July,"Vol. 1, No. 8"
1954,August,"Vol. 1, No. 9"
1954,September,"Vol. 1, No. 10"
1954,October,Madeline Castle
1954,November,"Vol. 1, No. 12"
1954,December,Terry Ryan
1955,January,"Vol. 2, No. 2"
1955,February,"Leigh Lewin, Arlene Kieta"
1955,April,Leigh Lewin
1955,May,Leigh Lewin
1955,June,Donna Kime
1955,July,Janet Pilgrim
1955,August,Joanne Arnold
1955,September,Marilyn Monroe
1955,October,Marilyn McClintock
1955,November,Barbara Cameron
1955,December,Janet Pilgrim
1956,January,Jean Moorehead
1956,February,"Pat Lawler, Margaret Scott, Eve Meyer"
1956,March,Marian Stafford
1956,April,"Vol. 3, No. 4"
1956,May,Dolores Taylor
1956,June,Sally Todd
1956,July,"Vol. 3, No. 7"
1956,August,"Vol. 3, No. 8"
1956,September,Diane Harmsen
1956,October,"Mary Ann, Shirley"
1956,November,Anna Kirstein
1956,December,Lisa Winters
1957,January,"Marion Scott, Elsa Sorensen, Alice Denham, Rusty Fisher, Lisa Winters, Betty Blue, Marguerite Empey, Marian Stafford, Jonnie Nicely, Gloria Walker, Janet Pilgrim, Lynn Turner"
1957,February,Jayne Mansfield
1957,March,Sandra Edwards
1957,April,Elaine Conte
1957,May,"Vol. 4, No. 5"
1957,June,"Vol. 4, No. 6"
1957,July,Dawn Richards
1957,August,Dolores Donlon
1957,September,Jacquelyn Prescott
1957,October,Janet Pilgrim
1957,November,Marian Stafford
1957,December,"Lisa Winters, Linda Vargas"
1958,January,"Lisa Winters, Marian Stafford, June Blair, Gloria Walker, Gloria Windsor, Jean Jani"
1958,February,Cheryl Kubert
1958,March,"Brigitte Bardot, Michiko Hamamura"
1958,April,Marilyn Dann
1958,May,Lari Laine
1958,June,Judy Lee Tomerlin
1958,July,Joyce Nizzari
1958,August,"Vol. 5, No. 8"
1958,September,Teri Hope
1958,October,"Babette, Mara Corday, Pat Sheehan"
1958,November,"Vol. 5, No. 11"
1958,December,"Vol. 5, No. 12"
1959,January,"Elizabeth Ann Roberts, Teri Hope, Myrna Weber, Cheryl Kubert, Lari Laine"
1959,February,Ardie Scott
1959,March,"Vol. 6, No. 3"
1959,April,"Vol. 6, No. 4"
1959,May,"Cindy Fuller, Fran Stacy, Mary Jane Ralston"
1959,June,Marilyn Hanold
1959,July,"Vol. 6, No. 7"
1959,August,Clayre Peters
1959,September,Marianne Gaba
1959,October,Eleanor Bradley
1959,November,"Vol. 6, No. 11"
1959,December,"Vol. 6, No. 12"
1960,January,"Clayre Peters, Nancy Crawford, Elaine Reynolds, Eleanor Bradley, Yvette Vickers, Donna Lynn, Ellen Stratton"
1960,February,"Vol. 7, No. 2"
1960,March,Joyce Nizzari
1960,April,"Vol. 7, No. 4"
1960,May,"Vol. 7, No. 5"
1960,June,Delores Wells
1960,July,Collete Berne
1960,August,"Vol. 7, No. 8"
1960,September,Marli Renfro
1960,October,"Vol. 7, No. 10"
1960,November,June Wilkinson
1960,December,Teddi Smith
1961,January,"Teddi Smith, Joni Mattis, Stella Stevens, Susie Scott, Ginger Young, Delores Wells"
1961,February,Barbara Ann Lawford
1961,March,"Vol. 8, No. 3"
1961,April,"Vol. 8, No. 4"
1961,May,Judy Newton
1961,June,Heidi Becker
1961,July,Susie Scott
1961,August,"Vol. 8, No. 8"
1961,September,Barbara Ann Lawford
1961,October,"Vol. 8, No. 10"
1961,November,"Vol. 8, No. 11"
1961,December,Delores Wells
1962,January,"Heidi Becker, Susan Kelly, Connie Cooper, Christa Speck, Karen Thompson"
1962,February,Cynthia Maddox
1962,March,"Vol. 9, No. 3"
1962,April,Roberta Lane
1962,May,"Vol. 9, No. 5"
1962,June,"Vol. 9, No. 6"
1962,July,"Vol. 9, No. 7"
1962,August,Darlene Higginson
1962,September,"Vol. 9, No. 9"
1962,October,Laura Young
1962,November,"Vol. 9, No. 11"
1962,December,Sheralee Conners
1963,January,"Merle Pertile, Avis Kimble, Laura Young, Kari Knudsen, Marissa Mathes"
1963,February,Cheryl Lampley
1963,March,Cynthia Maddox
1963,April,Kelly Collins
1963,May,"Vol. 10, No. 5"
1963,June,Jayne Mansfield
1963,July,Judy Newton
1963,August,Nancy Perry
1963,September,Joey Thorpe
1963,October,Teddi Smith
1963,November,Sharon Rogers
1963,December,"Vol. 10, No. 12"
1964,January,"Connie Mason, Phyllis Sherwood, Terre Tucker"
1964,February,Cynthia Maddox
1964,March,Olga Schoberová
1964,April,"Peter Sellers, Karen Lynn"
1964,May,Donna Michelle
1964,June,Mamie van Doren
1964,July,Cynthia Maddox
1964,August,Barbara Reeves
1964,September,Heather Hewitt
1964,October,Judy Newton
1964,November,Maria Hoff
1964,December,"Vol. 11, No. 12"
1965,January,"Sharon Rogers, Nancy Jo Hooper, Nancy Scott, Ashlyn Martin, Terri Kimball, Lori Winston, Melba Ogle, China Lee, Astrid Schulz, Rosemarie Hillcrest, Kai Brendlinger, Jo Collins"
1965,February,Teddi Smith
1965,March,"Vol. 12, No. 3"
1965,April,Lannie Balcom
1965,May,"Vol. 12, No. 5"
1965,June,Turid Lundberg
1965,July,Joey Thorpe
1965,August,Jo Collins
1965,September,Teddi Smith
1965,October,Penny James
