year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1953,December,December 1953,Marilyn Monroe,"Marilyn Monroe (billed as ""Sweetheart of the Month"" — the ""Playmate"" name began with the 2nd issue, Jan 1954)",,,verified
1954,January,January 1954,"Vol. 1, No. 2",Margie Harrison,,,verified
1954,February,February 1954,Yvonne Ménard,Margaret Scott (a.k.a. Marilyn Waltz),,,verified
1954,March,March 1954,Joanne Arnold,Dolores Del Monte,,,verified
1954,April,April 1954,Leigh Lewin,Marilyn Waltz,,,verified
1954,May,May 1954,"Vol. 1, No. 6",Joanne Arnold,,,verified
1954,June,June 1954,"Vol. 1, No. 7",Margie Harrison,,,verified
1954,July,July 1954,"Vol. 1, No. 8",Neva Gilbert,,,verified
1954,August,August 1954,"Vol. 1, No. 9",Arline Hunter,,,verified
1954,September,September 1954,"Vol. 1, No. 10",Jackie Rainbow,,,verified
1954,October,October 1954,Madeline Castle,Madeline Castle,,,verified
1954,November,November 1954,"Vol. 1, No. 12",Diane Hunter,,,verified
1954,December,December 1954,Terry Ryan,Terry Ryan,,,verified
1955,January,January 1955,"Vol. 2, No. 2",Bettie Page,,,verified
1955,February,February 1955,"Leigh Lewin, Arlene Kieta",Jayne Mansfield,,,verified
1955,April,April 1955,Leigh Lewin,Marilyn Waltz,,,verified
1955,May,May 1955,Leigh Lewin,Marguerite Empey,,,verified
1955,June,June 1955,Donna Kime,Eve Meyer,,,verified
1955,July,July 1955,Janet Pilgrim,Janet Pilgrim,,,verified
1955,August,August 1955,Joanne Arnold,Pat Lawler,,,verified
1955,September,September 1955,Marilyn Monroe,Anne Fleming,,,verified
1955,October,October 1955,Marilyn McClintock,Jean Moorehead,,,verified
1955,November,November 1955,Barbara Cameron,Barbara Cameron,,,verified
1955,December,December 1955,Janet Pilgrim,Janet Pilgrim,,,verified
1956,January,January 1956,Jean Moorehead,Lynn Turner,,,verified
1956,February,February 1956,"Pat Lawler, Margaret Scott, Eve Meyer",Marguerite Empey,,,verified
1956,March,March 1956,Marian Stafford,Marian Stafford,,,verified
1956,April,April 1956,"Vol. 3, No. 4",Rusty Fisher,,,verified
1956,May,May 1956,Dolores Taylor,Marion Scott,,,verified
1956,June,June 1956,Sally Todd,Gloria Walker,,,verified
1956,July,July 1956,"Vol. 3, No. 7",Alice Denham,,,verified
1956,August,August 1956,"Vol. 3, No. 8",Jonnie Nicely,,,verified
1956,September,September 1956,Diane Harmsen,Elsa Sorensen,,,verified
1956,October,October 1956,"Mary Ann, Shirley",Janet Pilgrim,,,verified
1956,November,November 1956,Anna Kirstein,Betty Blue,,,verified
1956,December,December 1956,Lisa Winters,Lisa Winters,,,verified
